date_s,storekeeper_name_s,shift_s,atz_tanker_sheet,uch_s,given_litres_s,given_kg_s,status,status_id,guid,date_color,table_color
11.05.2024,ПАНИМБА,ВЕЧЕР,АТЗ - 90067 (К086ХР70) ,ПАНИМБА,1255.0,1064.2,Загружен,2,WPGUID1D240511210328SH528,,white
11.05.2024,БЕССОНОВСКИЙ,УТРО,АТЗ - 80028,БЕССОНОВСКИЙ,2365.0,1970.0,Загружен,2,WPGUID46D240511184859SH288,,white
11.05.2024,ПАНИМБА,УТРО,АТЗ - 90067 (К086ХР70) ,ПАНИМБА,2704.0,2293.0,Загружен,2,WPGUID1D240511205841SH527,,white
11.05.2024,КУВАЙ,УТРО,АТЗ - 90153 (К030ВМ14) ,КУВАЙ,3435.0,2902.6,Загружен,2,WPGUID38D240511150345SH650,,white
11.05.2024,КУВАЙ,ВЕЧЕР,АТЗ - 90153 (К030ВМ14) ,КУВАЙ,2247.0,1894.2,Загружен,2,WPGUID38D240511203350SH651,,white
10.05.2024,КУВАЙ,ВЕЧЕР,АТЗ - 90153 (К030ВМ14) ,КУВАЙ,2452.0,2071.9,Загружен,2,WPGUID38D240511100157SH649,,white
10.05.2024,КУВАЙ,УТРО,АТЗ - 90153 (К030ВМ14) ,КУВАЙ,3463.0,2926.2,Загружен,2,WPGUID38D240510155002SH648,,white
10.05.2024,КАРАГАН,УТРО,АТЗ - 529 (E995PO124) ,КАРАГАН,2183.0,1846.8,Загружен,2,WPGUID36D240510114705SH699,,white
10.05.2024,МАГЫЗЫ,УТРО,АТЗ - 90260 (C445KP124) ,УСТЬ-ВЕСЕЛЫЙ ,1570.0,1320.4,Загружен,2,WPGUID26D240511090720SH1195,,white
10.05.2024,АНДАТ,УТРО,АТЗ - 376 (К309МТ124) ,ТЮХТЕРЕК,116.0,97.4,Загружен,2,WPGUID29D240511181253SH3675,,white
10.05.2024,АНДАТ,УТРО,АТЗ - 376 (К309МТ124) ,ПИХТАЧИ,724.0,608.2,Загружен,2,WPGUID29D240511182244SH3680,,white
10.05.2024,ТЮРЕПИНО,ВЕЧЕР,АТЗ - 22135 (H351PH124) ,ТЮРЕПИНО,1495.0,1257.3,Загружен,2,WPGUID10D240511093603SH495,,white
10.05.2024,ВЕРХНЯЯ ШУМИХА,УТРО,АТЗ - АТЗ № 480 (H366PH124) ,ВЕРХНЯЯ ШУМИХА,1957.0,1663.5,Загружен,2,WPGUID20D240510185516SH587,,white
10.05.2024,КАРАГАН,УТРО,АТЗ - 529 (E995PO124) ,КАРАГАН,1833.0,1541.6,Загружен,2,WPGUID36D240510114331SH698,,white
10.05.2024,АНДАТ,УТРО,АТЗ - 376 (К309МТ124) ,ПИХТАЧИ,1614.0,1355.8,Загружен,2,WPGUID29D240511181930SH3678,,white
10.05.2024,СИСИМ-ДРАЖНЫЙ,ВЕЧЕР,АТЗ - 90261 (Р594РТ124) ,СИСИМ-ДРАЖНЫЙ,3450.0,2904.9,Загружен,2,WPGUID41D240511090235SH666,,white
10.05.2024,АНДАТ,УТРО,АТЗ - 365,АНДАТ,791.0,670.8,Загружен,2,WPGUID29D240511180746SH3671,,white
10.05.2024,АНДАТ,УТРО,АТЗ - 365,БИЗА,1232.0,1044.7,Загружен,2,WPGUID29D240511181103SH3673,,white
10.05.2024,АНДАТ,УТРО,АТЗ - 376 (К309МТ124) ,ТЮХТЕРЕК,855.0,718.2,Загружен,2,WPGUID29D240511181204SH3674,,white
